id,poli,nomor_antrian,nama_pasien,nik,status,timestamp,dokter
1,Poli Umum,POLI-804,"Drs. Rahayu Siregar, S.Sos",9558734209564832,done,2025-05-16 13:00:00,dr. Andi
2,Poli Gizi,POLI-077,Lidya Sudiati,7581194915052381,done,2025-02-18 18:00:00,dr. Eka
3,Poli KIA,POLI-340,Akarsana Sihombing,3616663270853299,done,2025-01-11 11:00:00,dr. Fajar
4,Poli Gigi,POLI-860,Puspa Anggraini,4372621734948815,done,2025-03-26 17:00:00,dr. Dina
5,Poli Umum,POLI-431,"R.A. Ika Zulkarnain, M.TI.",2249436154282528,done,2025-03-26 16:00:00,dr. Budi
6,Poli KIA,POLI-530,Nasrullah Widodo,4701778853968642,done,2025-05-29 08:00:00,dr. Citra
7,Poli Gigi,POLI-366,Dt. Cecep Nugroho,8320555281618036,done,2025-02-20 10:00:00,dr. Eka
8,Poli Umum,POLI-021,Dian Wahyuni,5364751709427795,done,2025-02-19 18:00:00,dr. Eka
9,Poli Gigi,POLI-785,Ella Samosir,7396008303880482,done,2025-02-27 08:00:00,dr. Dina
10,Poli Lansia,POLI-484,Tina Anggraini,0029315974074044,serving,2025-05-07 13:00:00,dr. Andi
11,Poli Gizi,POLI-239,"Dirja Maryadi, S.Pt",7010713436419595,serving,2025-03-24 16:00:00,dr. Andi
12,Poli Lansia,POLI-508,drg. Widya Yulianti,3929895013769135,waiting,2025-05-20 17:00:00,dr. Fajar
13,Poli KB,POLI-452,Maras Sihotang,7161157049256674,done,2025-01-27 12:00:00,dr. Fajar
14,Poli Lansia,POLI-032,Ifa Mansur,6008098584194791,done,2025-01-26 14:00:00,dr. Citra
15,Poli Lansia,POLI-568,Puti Nilam Sirait,9663598341615470,waiting,2025-03-08 15:00:00,dr. Citra
16,Poli Umum,POLI-599,Hj. Rini Iswahyudi,5378214737335619,waiting,2025-02-15 14:00:00,dr. Eka
17,Poli Lansia,POLI-906,Adiarja Marbun,5851624586816532,done,2025-03-13 16:00:00,dr. Eka
18,Poli KIA,POLI-573,Kayun Waskita,2016104717582673,serving,2025-04-10 08:00:00,dr. Citra
19,Poli KIA,POLI-150,Putri Adriansyah,5237613913217053,done,2025-02-11 12:00:00,dr. Budi
20,Poli Umum,POLI-087,Gantar Saefullah,8535612246317731,serving,2025-03-29 14:00:00,dr. Fajar
21,Poli Lansia,POLI-883,drg. Zamira Fujiati,8273500839723888,done,2025-01-01 08:00:00,dr. Budi
22,Poli Lansia,POLI-424,Najwa Budiman,1320401368696537,done,2025-05-11 13:00:00,dr. Eka
23,Poli Lansia,POLI-371,KH. Gatra Padmasari,1970665932655835,waiting,2025-03-16 09:00:00,dr. Dina
24,Poli Lansia,POLI-721,Kasiran Uwais,8583968132458710,done,2025-04-20 15:00:00,dr. Fajar
25,Poli Gizi,POLI-817,Tgk. Karna Narpati,4204682283534591,serving,2025-03-17 08:00:00,dr. Fajar
26,Poli Lansia,POLI-550,Jais Purnawati,5446961354386170,done,2025-05-04 17:00:00,dr. Andi
27,Poli Umum,POLI-644,"Hari Halim, S.Sos",1329239031980081,done,2025-04-23 11:00:00,dr. Fajar
28,Poli Lansia,POLI-042,Pia Mandala,8999977607614700,done,2025-03-23 09:00:00,dr. Budi
29,Poli Gigi,POLI-693,"Farhunnisa Haryanto, M.TI.",2318728282325966,waiting,2025-04-01 18:00:00,dr. Dina
30,Poli Gizi,POLI-771,Gamblang Pradipta,6450615704210738,done,2025-03-17 11:00:00,dr. Budi
31,Poli Lansia,POLI-308,Drs. Mahfud Rahayu,7252923437768403,done,2025-05-16 11:00:00,dr. Fajar
32,Poli Gizi,POLI-775,"Gada Laksmiwati, S.I.Kom",4311718218281037,done,2025-01-17 17:00:00,dr. Eka
33,Poli Lansia,POLI-454,"Uda Habibi, M.M.",9843969547199103,done,2025-03-26 08:00:00,dr. Citra
34,Poli KB,POLI-522,"Faizah Santoso, M.Pd",9804020704948628,waiting,2025-03-19 11:00:00,dr. Andi
35,Poli KB,POLI-953,"Kiandra Siregar, M.TI.",1520268893046921,done,2025-02-12 08:00:00,dr. Andi
36,Poli Umum,POLI-227,Danu Wasita,1507118754382692,done,2025-05-16 16:00:00,dr. Budi
37,Poli Umum,POLI-056,Dt. Hari Wulandari,2703526920130232,done,2025-01-07 18:00:00,dr. Andi
38,Poli Umum,POLI-021,Putri Usada,1087582959418029,serving,2025-02-18 18:00:00,dr. Andi
39,Poli Umum,POLI-990,dr. Umaya Tampubolon,9809944625326598,done,2025-05-17 13:00:00,dr. Citra
40,Poli KB,POLI-106,Ani Maryati,7379740857372095,serving,2025-04-14 15:00:00,dr. Andi
41,Poli KB,POLI-742,Wulan Hakim,4381965799589892,done,2025-01-04 18:00:00,dr. Andi
42,Poli Gigi,POLI-317,Wulan Adriansyah,6552870046962752,waiting,2025-05-26 09:00:00,dr. Budi
43,Poli KIA,POLI-190,"Drs. Endah Manullang, S.E.",4172144589781217,done,2025-04-17 14:00:00,dr. Eka
44,Poli KB,POLI-509,Sutan Koko Safitri,2102841275228648,done,2025-04-15 10:00:00,dr. Citra
45,Poli Gizi,POLI-349,Vera Uwais,0616654427563190,done,2025-05-23 12:00:00,dr. Citra
46,Poli Gigi,POLI-417,Tgk. Irma Sirait,5142772132742111,done,2025-05-29 15:00:00,dr. Eka
